,programTitle,infoCat,region,url,description,organization,contact,page
758,['Recycling Farm Plastic Films'],['Guides/Information'],[],['http://www.omafra.gov.on.ca/english/engineer/facts/95-019.htm'],['\nThis factsheet will deal with plastic films as they apply to forages and grains.\n'],"['\nOntario Ministry of Agriculture, Food and Rural Affairs\n']",['\n1-877-424-1300\n\nag.info.omafra@ontario.ca\xa0\n\n'],24
759,['Recycling Non-Nutrient Agricultural Waste'],['Guides/Information'],[],['http://www.omafra.gov.on.ca/english/environment/agrecycling.htm'],"['\nThere are a lot of different types of waste produced by farm businesses. Used and unwanted plastic film, seed bags, pesticide containers, twine, tires and engine oil are just examples of the type of waste that farmers need to dispose of regularly.\n']","['\nOntario Ministry of Agriculture, Food and Rural Affairs\n']",['\n1-877-424-1300\n\nag.info.omafra@ontario.ca\xa0\n\n'],24
760,['Red Clover Haylage'],['Guides/Information'],[],['http://www.omafra.gov.on.ca/english/crops/facts/info_redclover_haylage.htm'],['\nInformation on red clover haylage.\xa0\n'],"['\nOntario Ministry of Agriculture, Food and Rural Affairs\n']",['\n1-877-424-1300\n\nag.info.omafra@ontario.ca\xa0\n\n'],24
761,['Red meat and livestock market information'],[],[' Across Canada '],['https://agriculture.canada.ca/en/canadas-agriculture-sectors/animal-industry/red-meat-and-livestock-market-information'],"['\nStatistics and market information on red meat sectors including cattle and beef, hogs and pork, sheep, lamb, goats, farmed game, and bison.\n']",['\nAgriculture and Agri-Food Canada\n'],['\n1-855-773-0241\n1-613-773-2600\n\nredmeat-vianderouge@agr.gc.ca\n\n'],24
762,['Reducing the Risk to Pollinators'],['Guides/Information'],[],['http://www.omafra.gov.on.ca/english/crops/pollinators.html'],['\nProvides resources for the agricultural industry to reduce the risk to pollinators.\xa0\n'],"['\nOntario Ministry of Agriculture, Food and Rural Affairs\n']",['\n\nag.info.omafra@ontario.ca\n\n1-877-424-1300\n'],24
763,['Regional Agri-Business Development'],['Guides/Information'],[],['http://www2.gnb.ca/content/gnb/en/departments/10/services/services_renderer.9915.Regional_Agri-Business_Development_.html'],"['\nThe Regional Agri-Business Development provides a regional contact service for information (and delivery) on provincial departmental programs, initiatives and programming under federal/provincial agreements.\n']","['\nNew Brunswick Agriculture, Aquaculture and Fisheries\n']","['\nAgriculture (Division)\n\nDAAF-MAAP@gnb.ca\n\n1-506-453-3826\n1-888-622-4742\n', '\nBusiness Growth (Branch)\n1-506-743-7222\n', '\nCrop Sector Development (Unit)\n1-506-453-2666\n', '\nLivestock Sector Development (Unit)\n1-506-453-2666\n', '\nSector Development - Potato (Unit)\n1-506-392-5199\n']",24
764,['Regional Development Fund'],[],[],['https://www.gov.nl.ca/iet/funding/regional-development-fund/'],"['\nThe Regional Development Program provides support by way of non-repayable contributions to organizations for the development and implementation of economic initiatives with respect to regional and sectoral development, diversification, innovation and key emerging sectors. The four key themes of projects intended for funding are: infrastructure, capacity building, marketing and research.\n']","['\nDepartment of Tourism, Culture, Industry and Innovation\n']",['\n\ntcii@gov.nl.ca\n\n1-709-729-7000\n1-800-563-2299\n'],24
765,['Regional Economic Growth through Innovation'],[],[],['https://www.canada.ca/en/atlantic-canada-opportunities/services/regional-economic-growth-through-innovation.html'],['\nThe Regional Economic Growth through Innovation (REGI) program creates the right conditions to start and grow businesses in Atlantic Canada.\n'],['\nAtlantic Canada Opportunities Agency\n'],['\n1-800-561-7862\n1-506-851-7403\n\ninformation@acoa-apeca.gc.ca\n\n\nhttps://www.canada.ca/en/atlantic-canada-opportunities/corporate/contact-us.html\n\n'],24
766,['Regional Land and Environment Services'],['Guides/Information'],[],['http://www2.gnb.ca/content/gnb/en/services/services_renderer.15216.Regional_Land_and_Environment_Services.html'],['\nProvides technical advice regarding agricultural land and environment related issues.\n'],"['\nNew Brunswick Agriculture, Aquaculture and Fisheries\n']",['\nEnvironment Services and Crop Specialists (Unit)\n\nDAAF-MAAP@gnb.ca\n\n1-506-453-2666\n1-888-622-4742\n'],24
767,['Regional Offices'],['Guides/Information'],[],['http://www.saskatchewan.ca/business/agriculture-natural-resources-and-industry/agribusiness-farmers-and-ranchers/agriculture-regional-offices/view-regional-staff-biographies'],"['\nProvides farmers and ranchers, producer groups and industry\xa0with access to production and business information and services.\n']",['\nSaskatchewan Ministry of Agriculture\n'],[],24
768,['Regional Relief and Recovery Fund (RRRF)'],[],[],['https://fednor.gc.ca/eic/site/fednor-fednor.nsf/eng/fn04592.html'],"['\nThe Regional Relief and Recovery Fund (RRRF) will support vulnerable businesses and eligible not-for-profit organizations that are impacted by the economic disruption associated with the COVID-19 pandemic. The\xa0RRRF\xa0will provide repayable and conditionally repayable contributions to eligible small and medium-sized enterprises, up a maximum of $250,000. Support to eligible not-for-profit organizations will be non-repayable.\n']",['\nFedNor\n'],['\n1-877-333-6673\n\nhttps://fednor.gc.ca/eic/site/fednor-fednor.nsf/eng/h_fn00804.html\n\n'],24
769,['Regional Services'],[],[],['http://novascotia.ca/agri/programs-and-services/regional-services/'],"['\nKnowledgeable, experienced Agricultural Resource Coordinators (ARCs) work in regional offices throughout Nova Scotia to assist agricultural clients with information, advice and referrals.\n']",['\nNova Scotia Department of Agriculture\n'],['\n1-800-279-0825\n'],24
770,['Register Animal Premises for Livestock and Poultry Traceability'],['Guides/Information'],[],['http://www2.gnb.ca/content/gnb/en/departments/10/services/services_renderer.201363.Register_Animal_Premises_for_Livestock_and_Poultry_Traceability.html'],['\nAnimal premises identification is a means to link livestock and poultry with geographic locations for the purposes of responding to emergencies.\n'],"['\nNew Brunswick Agriculture, Aquaculture and Fisheries\n']",['\nLivestock Sector Development (Unit)\n\nDAAF-MAAP@gnb.ca\n\n1-506-453-2666\n'],24
771,['Register for Livestock and Poultry Premises Identification'],[],[],['https://www.princeedwardisland.ca/en/service/register-livestock-and-poultry-premises-identification'],"['\nUse the online form to register for a Premises Identification number (PID) for any property in PEI being used to keep (raise or assemble), grow or dispose of animals or food\n']",['\nPrince Edward Island Department of Agriculture and Land\n'],['\n1-902-368-5654\n1-866-734-3276\n\nPEIPID@gov.pe.ca\n\n'],24
772,['Register for a Food Safety Course'],[],[],['https://www.princeedwardisland.ca/en/service/register-food-safety-course'],['\nFood premises operators in PEI can register online for food safety training.\n'],['\nEnvironmental Health\n'],['\n\nenvhealth@ihis.org\n\n1-800-958-6400\n'],24
773,['Registered Cannabis Pesticides'],['Guides/Information'],[],['https://www.alberta.ca/registered-cannabis-pesticides.aspx'],['\nApproved pesticide list for cannabis production is limited at this time with only 20 registered pesticides for use on cannabis.\n'],['\nAlberta Ministry of Agriculture and Forestry\n'],['\nAg-Info Centre\n\naginfocentre@gov.ab.ca\n\n1-403-742-7901\n310-3276\n'],24
774,['Regulated Pests'],['Guides/Information'],[],['https://www.mapaq.gouv.qc.ca/fr/Productions/Protectiondescultures/organismesnuisibles/Pages/organismesnuisibles.aspx'],['\nModern agriculture requires agricultural producers to effectively manage different pests affecting their crops in order to maintain their levels of productivity and competitiveness.\n'],"['\nQuebec Ministry of Agriculture, Fisheries and Food\n']",['\n1-888-222-6272\n'],24
775,['Regulating Food'],['Guides/Information'],[],['http://www.gov.mb.ca/agriculture/food-safety/regulating-food/index.html'],"['\nResources and links to learn about the different laws and regulations that apply to facilities where food products are manufactured, processed, prepared, packaged or stored.\n']",['\nManitoba Agriculture and Resource Development\n'],"['\nFood Safety and Inspection Branch\n\nfoodsafety@gov.mb.ca\n\n204-795-8418\n', '\n\nhttps://www.gov.mb.ca/agriculture/contact/\n\n']",24
776,['Relative Value of Feedstuffs for Swine Worksheet'],['Guides/Information'],[],['http://www.omafra.gov.on.ca/english/livestock/swine/calcs/wksht_swinenutrition.htm'],['\nThe relative value of feedstuffs worksheet is an excel worksheet for calculating the relative economic advantage of using alternative ingredients in swine rations.\n'],[],"['\nOntario Ministry of Agriculture, Food and Rural Affairs\n1-877-424-1300\xa0\n\nag.info.omafra@ontario.ca\xa0\n\n']",24
777,['Remote Area Heating Allowance Program'],[],[],['https://www.alberta.ca/farm-fuel-and-rural-utility-programs.aspx#toc-1'],"['\nProvides direct rebates of the cost of fuel on consumption of propane or heating oil, or a proportionate combination of both.\n']",['\nAlberta Department of Agriculture and Forestry\n'],['\n\nruralutilities@gov.ab.ca\n\n'],24
778,['Rendering'],['Guides/Information'],[],['https://www.gov.mb.ca/agriculture/environment/mortality-management/rendering.html'],['\nProvides information on rendering of dead animals.\n'],['\nManitoba Agriculture and Resource Development\n'],['\nManitoba Agriculture Office\n1-844-769-6224\n\nARD@gov.mb.ca\n\n'],24
779,['Renewable Fuels'],['Guides/Information'],[],['https://www.alberta.ca/renewable-fuels.aspx'],['\nLearn about renewable fuels and the benefits of Alberta’s Renewable Fuels Standard (RFS).\n'],['\nAlberta Ministry of Agriculture and Forestry\n'],['\nRenewable Fuels Standard\n\nfuel.ghg@gov.ab.ca\n\n'],24
780,['Renewable Industries Canada'],[],[' Across Canada '],['https://ricanada.org/'],"['\nRepresents leaders and innovators in biofuels, renewable products, and clean technologies.\n']",['\nRenewable Industries Canada\n'],"['\n54 Murray Street, Suite 450, Ottawa, ON, K1N 9M5\n1-833-476-3835\n\ninfo@RICanada.org\n\n\nhttps://ricanada.org/contact/\n\n']",24
781,['Renting Out Your Commercial Kitchen'],['Guides/Information'],[],['https://www.manitoba.ca/agriculture/food-and-ag-processing/starting-a-food-business/rent-commercial-kitchen.html'],['\nDo you have your own processing facility with free time when production is not happening? Do you manage a commercial kitchen in your community and are looking for opportunities to increase revenue?\n'],['\nManitoba Agriculture\n'],['\n1-844-769-6224\n\nmbagrifood@gov.mb.ca\n\n\nhttps://www.gov.mb.ca/agriculture/contact/index.html\n\n'],24
782,['Repair Grafting'],['Guides/Information'],[],['http://www.omafra.gov.on.ca/english/crops/facts/98-003.htm'],['\nInformation on repair grafting.\xa0\n'],"['\nOntario Ministry of Agriculture, Food and Rural Affairs\n']",['\n1-877-424-1300\n\nag.info.omafra@ontario.ca\n\n'],24
783,['Report Food Safety Violations and Other Alleged Illegal Activities'],['Guides/Information'],[],['http://www.omafra.gov.on.ca/english/food/inspection/illegalactivities.htm'],['\nInformation on how to report food safety violations in Ontario.\n'],"['\nOntario Ministry of Agriculture, Food and Rural Affairs\n']",['\n1-877-424-1300\n\nag.info.omafra@ontario.ca\xa0\n\n'],24
784,['Report Livestock at Large or Welfare Concerns'],[],[],['https://yukon.ca/en/report-livestock-at-large'],['\nIt is important that livestock owners and the public report the escape or any livestock sightings.\n'],"['\nGovernment of Yukon, Agriculture Branch\n']","['\nLivestock Welfare Concerns\n1-867-667-5600\n', '\nAnimal Protection Officer\n1-867-667-3597\n', '\nAgriculture Branch\n1-867-667-5838\n\nagriculture@gov.yk.ca\n\n']",24
785,['Report Sick or Dead Animals'],[],[],['https://www2.gov.bc.ca/gov/content/environment/plants-animals-ecosystems/wildlife/wildlife-conservation/wildlife-health/report-sick-or-dead-animals'],['\nHow to report sick or dead animals in British Columbia.\xa0\n'],['\nBritish Columbia Ministry of Agriculture\n'],['\n\nCaeley.Thacker@gov.bc.ca\n\n1-250-751-3234\n1-250-751-3219\n1-877-952-7277\n'],24
786,['Reportable and Notifiable Diseases'],[],[],['https://www2.gov.bc.ca/gov/content/industry/agriculture-seafood/animals-and-crops/animal-health/reportable-notifiable-diseases'],['\nProvides information about reportable and notifiable diseases.\n'],['\nBritish Columbia Ministry of Agriculture\n'],['\n\nPAHB@gov.bc.ca\n\n1-604-556-3010\n1-604-556-3003\n1-800-661-9903\n'],24
787,['Reporting'],['Guides/Information'],[],['https://www.mapaq.gouv.qc.ca/fr/Productions/santeanimale/centrale/Pages/Centraledesignalement.aspx'],"['\nProvides information about how to report if animals are abused, sick, or dead.\n']","['\nQuebec Ministry of Agriculture, Fisheries and Food\n']",['\n1-844-264-6289\n'],24
788,['Reporting Concerns about Animal Welfare'],[],[],['https://www.gov.mb.ca/agriculture/animal-health-and-welfare/animal-welfare/animal-care-and-handling.html'],['\nInformation on reporting animal welfare concerns.\n'],['\nManitoba Agriculture and Resource Development\n'],"['\nWinnipeg Humane Society\n\nARD@gov.mb.ca\n\n1-888-945-8001\n\nhttps://www.winnipeghumanesociety.ca/\n\n', '\nAnimal Care Line\n1-888-945-8001\n\nanimalcare@gov.mb.ca\n\n']",24
789,['Reports and Statistics Data for Canadian Principal Field Crops'],[],[' Across Canada '],['https://agriculture.canada.ca/en/canadas-agriculture-sectors/crops/reports-and-statistics-data-canadian-principal-field-crops'],"['\nThese reports and data provide timely market information and analysis on the situation and outlook for Canadian principal field crops, including grains, oilseeds, and some pulse and special crops.\n']",['\nAgriculture and Agri-Food Canada\n'],['\n1-855-773-0241\n1-613-773-2600\n\naafc.bulletin.aac@agr.gc.ca\n\n'],24
790,['Research Coordination and Programs'],[],[],['http://www.omafra.gov.on.ca/english/research/programfundingindex.htm'],['\nList of research coordination and programs\n'],"['\nOntario Ministry of Agriculture, Food and Rural Affairs\n']",['\n1-877-424-1300\n\nag.info.omafra@ontario.ca\xa0\n\n'],24
791,['Research Partnerships: Innovation That Drives Growth'],['Guides/Information'],[],['http://www.omafra.gov.on.ca/english/food/industry/research.htm'],['\nInformation on research partnerships\n'],"['\nOntario Ministry of Agriculture, Food and Rural Affairs\n']",['\n1-877-424-1300\n\nag.info.omafra@ontario.ca\n\n'],24
792,['Research Publications'],[],[],['https://www.gov.nl.ca/ffa/publications/agriculture-and-lands/#research'],['\nProvincial Agriculture Research and Development Program projects.\n'],"['\nNewfoundland and Labrador, Department of Fisheries, Forestry and Agriculture\n']",['\n1-709-637-2589\n1-709-637-2046\n'],24
